"couple";"Global_min";"Global_max";"Global_mean";"Global_median";"Global_sd";"HCW_min";"HCW_max";"HCW_mean";"HCW_median";"HCW_sd";"Patient_min";"Patient_max";"Patient_mean";"Patient_median";"Patient_sd";"Paramedical_min";"Paramedical_max";"Paramedical_mean";"Paramedical_median";"Paramedical_sd";"Medical_min";"Medical_max";"Medical_mean";"Medical_median";"Medical_sd";"Environment_min";"Environment_max";"Environment_mean";"Environment_median";"Environment_sd";"Contact_min";"Contact_max";"Contact_mean";"Contact_median";"Contact_sd";"beta";"nu";"ED_min";"ED_max";"ED_median";"ED_mean";"ED_sd"
"sim_7-2_25-2";0;0,534375;0,393640625;0,484375;0,194572531050587;0;0,955223880597015;0,717425373134328;0,880597014925373;0,354309253936011;0;0,247311827956989;0,160376344086021;0,193548387096774;0,0807254692806494;0;0,979381443298969;0,731773090679571;0,897959183673469;0,361503413393658;0;0,972972972972973;0,679504504504505;0,837837837837838;0,337634382225319;0;0,1625;0,095796875;0,1125;0,0496143630890596;0;0,43125;0,29784375;0,365625;0,147950226732297;3,5;12,5;3,01319444444444;68,1114583333333;40,7409722222222;35,7947690972222;16,1614753244692
"sim_7-2_30";0;0,5375;0,394296875;0,503125;0,21302782269181;0;0,977611940298508;0,724701492537313;0,925373134328358;0,39128636068516;0;0,241935483870968;0,156263440860215;0,196236559139785;0,0855577232295683;0;1;0,740135177782453;0,948453608247423;0,399734837565183;0;0,972972972972973;0,68384009009009;0,864864864864865;0,370657854926352;0;0,265625;0,16565625;0,20625;0,0909722434665883;0;0,35625;0,228640625;0,2875;0,124803464174011;3,5;30;3,04201388888889;70,2798611111111;39,2923611111111;33,5488385416667;15,9184101977732
"sim_7-2_35";0;0,546875;0,428171875;0,509375;0,19112658942251;0;0,985074626865672;0,790335820895522;0,940298507462687;0,352523537125994;0;0,252688172043011;0,167258064516129;0,198924731182796;0,0760822398834835;0;1;0,807549442457395;0,959183673469388;0,360262555279068;0;0,972972972972973;0,744744744744745;0,891891891891892;0,333431228561326;0;0,284375;0,192;0,225;0,0874975547038072;0;0,33125;0,236171875;0,278125;0,107011403842634;3,5;35;3,01805555555556;80,6326388888889;39,4704861111111;34,9005868055556;14,3979769685289
"sim_7-2_35-2";0;0,540625;0,40353125;0,4953125;0,196408029286684;0;0,955223880597015;0,738134328358209;0,902985074626866;0,358899081132345;0;0,252688172043011;0,16247311827957;0,193548387096774;0,0804227042927946;0;0,989690721649485;0,753716600042079;0,927835051546392;0,366656045796205;0;0,972972972972973;0,696899399399399;0,837837837837838;0,34016779220689;0;0,221875;0,122703125;0,14375;0,0615222495672782;0;0,40625;0,280828125;0,340625;0,137626168951478;3,5;17,5;3,10625;71,84375;39,9059027777778;35,079890625;15,3404731174707
"sim_7-2_40";0;0,540625;0,42025;0,5125;0,201042294263955;0;1;0,774962686567164;0,947761194029851;0,370430538087705;0;0,247311827956989;0,164704301075269;0,198924731182796;0,0803920263080922;0;1;0,790927835051546;0,969072164948454;0,378090002878692;0;1;0,732759009009009;0,891891891891892;0,35159772146615;0;0,321875;0,204484375;0,2421875;0,0996108642057858;0;0,328125;0,215765625;0,259375;0,104979329846209;3,5;40;3,13368055555556;80,7003472222222;39,2458333333333;34,1568871527778;14,9028296085149
"sim_7-2_45-2";0;0,534375;0,409625;0,5;0,195959540037372;0;0,970149253731343;0,752238805970149;0,917910447761194;0,359638949229436;0;0,247311827956989;0,162795698924731;0,193548387096774;0,0791042792497407;0;0,989690721649485;0,768354197349043;0,938144329896907;0,367496964472415;0;1;0,709504504504505;0,864864864864865;0,340725653855346;0;0,23125;0,1449375;0,171875;0,0713191721001108;0;0,39375;0,2646875;0,31875;0,12770472036309;3,5;22,5;3,02569444444444;55,1954861111111;39,6456597222222;34,1710763888889;14,4397905293379
"sim_7-2_5";0;0,5125;0,333421875;0,4625;0,216043513058789;0;0,917910447761194;0,599813432835821;0,835820895522388;0,388405304437929;0;0,247311827956989;0,141505376344086;0,193548387096774;0,0927721443568752;0;0,938144329896907;0,610054176309699;0,845360824742268;0,394880856148603;0;0,972972972972973;0,572642642642643;0,783783783783784;0,373856300035875;0;0,090625;0,0390625;0,05;0,0274119192429665;0;0,46875;0,294359375;0,40625;0,191023143994891;3,5;5;3,02083333333333;70,3954861111111;41,6298611111111;34,6876701388889;19,4123540996628
"sim_7-2_5-2";0;0,5125;0,315609375;0,45;0,213858055476513;0;0,902985074626866;0,563582089552239;0,802238805970149;0,381264431726844;0;0,252688172043011;0,136962365591398;0,188172043010753;0,0941401360406049;0;0,927835051546392;0,572668840732169;0,814432989690722;0,387592439997286;0;0,945945945945946;0,539481981981982;0,756756756756757;0,367283612159313;0;0,05625;0,020953125;0,025;0,0160075576798506;0;0,471875;0,29465625;0,41875;0,199726127163036;3,5;2,5;3,01215277777778;69,2055555555555;43,5803819444444;35,6540677083333;20,2703117865509
"sim_7-2_50";0;0,55;0,434859375;0,515625;0,190536575766989;0;0,992537313432836;0,805597014925373;0,955223880597015;0,352631607900442;0;0,252688172043011;0,167768817204301;0,193548387096774;0,0750839060903533;0;1;0,821115611192931;0,979381443298969;0,359394889679311;0;1;0,764557057057057;0,891891891891892;0,335978191598754;0;0,325;0,22946875;0,26875;0,101707658635242;0;0,29375;0,205390625;0,240625;0,091592606411383;3,5;50;3,15763888888889;69,1614583333333;39,0748263888889;34,317875;13,6550265609208
"sim_7-2_55-2";0;0,5375;0,40559375;0,503125;0,203407006114884;0;0,977611940298508;0,746753731343284;0,925373134328358;0,374405752188094;0;0,241935483870968;0,159811827956989;0,196236559139785;0,0812023715759928;0;1;0,762166526404376;0,948453608247423;0,382430972566701;0;1;0,7059496996997;0,864864864864865;0,354809429283671;0;0,240625;0,159484375;0,19375;0,0815973787189478;0;0,365625;0,246109375;0,3;0,124550659670498;3,5;27,5;3,01388888888889;59,9545138888889;39,4958333333333;33,2554756944444;14,4421327907129
"sim_7-2_65-2";0;0,553125;0,438625;0,50625;0,177662258185773;0;0,977611940298508;0,80955223880597;0,940298507462687;0,327532969524073;0;0,252688172043011;0,171397849462366;0,193548387096774;0,0710100556479233;0;1;0,828064906374921;0,958762886597938;0,335264369606951;0;0,972972972972973;0,760476726726727;0,864864864864865;0,309018308218356;0;0,271875;0,19103125;0,21875;0,0792022526197184;0;0,346875;0,24759375;0,284375;0,10191549835507;3,5;32,5;3,05034722222222;64,1885416666667;39,6743055555556;35,4337517361111;12,7091778483766
"sim_7-2_75-2";0;0,546875;0,4158125;0,509375;0,202223584531339;0;0,992537313432836;0,766865671641791;0,940298507462687;0,372676716317158;0;0,247311827956989;0,162903225806452;0,196236559139785;0,0804928227416337;0;1;0,783614559225752;0,959183673469388;0,380805431597805;0;1;0,722605105105105;0,888888888888889;0,352766328835935;0;0,309375;0,195046875;0,234375;0,0962773230466266;0;0,328125;0,220765625;0,26875;0,108940449347359;3,5;37,5;3,08368055555556;61,4020833333333;39,3262152777778;33,2577621527778;14,032052451971
"sim_7-2_85-2";0;0,54375;0,42571875;0,5125;0,196905210751373;0;0,985074626865672;0,786940298507463;0,951492537313433;0,363641914635926;0;0,241935483870968;0,165483870967742;0,193548387096774;0,0781380431255198;0;1;0,802586261308647;0,969072164948454;0,370885704549236;0;1;0,745476726726727;0,891891891891892;0,345666831284077;0;0,303125;0,20871875;0,246875;0,0982002729961587;0;0,328125;0,217;0,25625;0,102164583260856;3,5;42,5;3,13888888888889;70,53125;39,5029513888889;34,24375;14,4502256599961
"sim_7-4_0";0;0,378125;0,105859375;0,003125;0,142773728181267;0;0,664179104477612;0,184850746268657;0,00746268656716418;0,249485466989833;0;0,198924731182796;0,0489516129032258;0;0,0667326019072637;0;0,693877551020408;0,190163054912687;0,0103092783505155;0,25694628768374;0;0,72972972972973;0,170964714714715;0;0,237997716112432;0;0;0;0;0;0;0,378125;0,105859375;0,003125;0,142773728181267;1,75;0;3,06840277777778;98,8263888888889;8,77239583333333;30,2325069444444;32,1175377633908
"sim_7-4_1";0;0,390625;0,13665625;0,00625;0,159563703070672;0;0,716417910447761;0,239850746268657;0,0149253731343284;0,280233658883255;0;0,209677419354839;0,0623118279569892;0,00537634408602151;0,0738470219383901;0;0,721649484536082;0,244913738691353;0,0103092783505155;0,286901471449816;0;0,72972972972973;0,226456456456456;0;0,268825183913455;0;0,034375;0,00609375;0;0,00815592539401038;0;0,384375;0,1305625;0,00625;0,15277099243853;1,75;1;3,06770833333333;99,3041666666667;14,2461805555556;33,6383385416667;31,9363536197826
"sim_7-4_10";0;0,496875;0,2895;0,409375;0,20164140751249;0;0,865671641791045;0,526529850746269;0,75;0,366336256615149;0;0,247311827956989;0,118736559139785;0,161290322580645;0,0843535568223036;0;0,897959183673469;0,542361666316011;0,76925099936882;0,377332508388569;0;0,864864864864865;0,484650900900901;0,675675675675676;0,342409247611077;0;0,16875;0,088203125;0,11875;0,0629158882024317;0;0,38125;0,201296875;0,28125;0,140975198198637;1,75;10;3,07881944444444;97,2527777777778;47,7041666666667;39,7110920138889;25,0051723118218
"sim_7-4_11";0;0,490625;0,281875;0,4140625;0,207170882738194;0;0,902985074626866;0,515783582089552;0,764925373134328;0,378593661183019;0;0,21505376344086;0,113360215053763;0,161290322580645;0,0847675282023182;0;0,927835051546392;0,528924889543446;0,774353040185146;0,388379139641831;0;0,891891891891892;0,480934684684685;0,702702702702703;0,356323233217073;0;0,190625;0,09221875;0,1296875;0,0689936793291557;0;0,353125;0,18965625;0,271875;0,140447574420102;1,75;11;3,13333333333333;85,3940972222222;45,8118055555556;37,3517239583333;24,1512634190212
"sim_7-4_12";0;0,49375;0,311078125;0,428125;0,199964123445774;0;0,888059701492537;0,569701492537313;0,787313432835821;0,365977597977525;0;0,225806451612903;0,124758064516129;0,161290322580645;0,0816347445820408;0;0,917525773195876;0,586462234378287;0,804123711340206;0,377005079184898;0;0,864864864864865;0,52533033033033;0,702702702702703;0,339423254998343;0;0,190625;0,1074375;0,140625;0,0703101863103418;0;0,35;0,203640625;0,271875;0,131685154997509;1,75;12;3,00972222222222;84,3590277777778;47,6131944444444;38,9531319444444;22,9019756145119
"sim_7-4_13";0;0,49375;0,32315625;0,434375;0,197817619082032;0;0,902985074626866;0,592537313432836;0,798507462686567;0,362506718694872;0;0,236559139784946;0,129086021505376;0,172043010752688;0,0806856583177409;0;0,927835051546392;0,607882916053019;0,814432989690722;0,372226319005795;0;0,891891891891892;0,551805555555556;0,72972972972973;0,340374707770987;0;0,221875;0,11709375;0,153125;0,073143580135324;0;0,334375;0,2060625;0,275;0,126903936039873;1,75;13;3,01736111111111;71,7836805555555;46,5284722222222;39,061453125;21,8611253243218
"sim_7-4_14";0;0,5;0,328796875;0,4328125;0,193330585691786;0;0,91044776119403;0,607611940298508;0,798507462686567;0,356911542017522;0;0,236559139784946;0,127930107526882;0,161290322580645;0,0768770773670419;0;0,928571428571429;0,623318430464969;0,814432989690722;0,366829642325614;0;0,945945945945946;0,566118618618619;0,72972972972973;0,334841174716622;0;0,215625;0,123828125;0,159375;0,074444681408813;0;0,334375;0,20496875;0,2625;0,121456604497523;1,75;14;3,18715277777778;72,0826388888889;46,2314236111111;38,8226996527778;20,5519546700747
"sim_7-4_15";0;0,5125;0,32984375;0,440625;0,201403911210013;0;0,917910447761194;0,605820895522388;0,813432835820896;0,369659633398513;0;0,231182795698925;0,131021505376344;0,166666666666667;0,08177876203168;0;0,948453608247423;0,621976646328635;0,835893120134652;0,379544168158265;0;0,916666666666667;0,563134384384384;0,75;0,346895663666031;0;0,228125;0,129078125;0,165625;0,0802974931842066;0;0,33125;0,200765625;0,265625;0,123842987586525;1,75;15;3,14756944444444;81,44375;46,4006944444444;39,1254288194444;21,7299603644989
"sim_7-4_16";0;0,50625;0,334328125;0,44375;0,2017748366637;0;0,91044776119403;0,616977611940299;0,824626865671642;0,371924038440775;0;0,241935483870968;0,130698924731183;0,166666666666667;0,0807655483700736;0;0,938775510204082;0,634159478224279;0,851304439301494;0,382696602022584;0;0,918918918918919;0,571565315315315;0,75;0,347215876520752;0;0,265625;0,135125;0,175;0,0829885271252726;0;0,328125;0,199203125;0,259375;0,121397926547199;1,75;16;3,05138888888889;74,8423611111111;44,4637152777778;37,3718784722222;20,2133726551115
